date	maille_code	source_type	day	cas_confirmes_incident	deces_incident	popsize	goodID	initinfectious
2020-03-12	REG-32	sante-publique-france	8	86	0	5978266	HDF	65
2020-03-13	REG-32	sante-publique-france	9	48	0	5978266	HDF	65
2020-03-14	REG-32	sante-publique-france	10	69	0	5978266	HDF	65
2020-03-15	REG-32	sante-publique-france	11	41	0	5978266	HDF	65
2020-03-16	REG-32	sante-publique-france	12	78	0	5978266	HDF	65
2020-03-17	REG-32	sante-publique-france	13	27	0	5978266	HDF	65
2020-03-18	REG-32	sante-publique-france	14	53	0	5978266	HDF	65
2020-03-04	REG-44	sante-publique-france	0	38	0	5518188	GrandEst	38
2020-03-05	REG-44	sante-publique-france	1	39	0	5518188	GrandEst	38
2020-03-06	REG-44	sante-publique-france	2	59	0	5518188	GrandEst	38
2020-03-07	REG-44	sante-publique-france	3	114	0	5518188	GrandEst	38
2020-03-08	REG-44	sante-publique-france	4	0	0	5518188	GrandEst	38
2020-03-09	REG-44	sante-publique-france	5	0	0	5518188	GrandEst	38
2020-03-10	REG-44	sante-publique-france	6	214	0	5518188	GrandEst	38
2020-03-11	REG-44	sante-publique-france	7	114	0	5518188	GrandEst	38
2020-03-12	REG-44	sante-publique-france	8	121	0	5518188	GrandEst	38
2020-03-13	REG-44	sante-publique-france	9	212	0	5518188	GrandEst	38
2020-03-14	REG-44	sante-publique-france	10	174	0	5518188	GrandEst	38
2020-03-15	REG-44	sante-publique-france	11	293	0	5518188	GrandEst	38
2020-03-16	REG-44	sante-publique-france	12	165	0	5518188	GrandEst	38
2020-03-17	REG-44	sante-publique-france	13	277	0	5518188	GrandEst	38
2020-03-18	REG-44	sante-publique-france	14	343	0	5518188	GrandEst	38
2020-03-04	REG-52	sante-publique-france	0	7	0	3786545	PaysLoire	7
2020-03-05	REG-52	sante-publique-france	1	1	0	3786545	PaysLoire	7
2020-03-06	REG-52	sante-publique-france	2	8	0	3786545	PaysLoire	7
2020-03-07	REG-52	sante-publique-france	3	2	0	3786545	PaysLoire	7
2020-03-08	REG-52	sante-publique-france	4	0	0	3786545	PaysLoire	7
2020-03-09	REG-52	sante-publique-france	5	0	0	3786545	PaysLoire	7
2020-03-10	REG-52	sante-publique-france	6	9	0	3786545	PaysLoire	7
2020-03-11	REG-52	sante-publique-france	7	7	0	3786545	PaysLoire	7
2020-03-12	REG-52	sante-publique-france	8	7	0	3786545	PaysLoire	7
2020-03-13	REG-52	sante-publique-france	9	14	0	3786545	PaysLoire	7
2020-03-14	REG-52	sante-publique-france	10	27	0	3786545	PaysLoire	7
2020-03-15	REG-52	sante-publique-france	11	16	0	3786545	PaysLoire	7
2020-03-16	REG-52	sante-publique-france	12	10	0	3786545	PaysLoire	7
2020-03-17	REG-52	sante-publique-france	13	18	0	3786545	PaysLoire	7
2020-03-18	REG-52	sante-publique-france	14	2	0	3786545	PaysLoire	7
2020-03-04	REG-53	sante-publique-france	0	23	0	3329395	Bretagne	23
2020-03-05	REG-53	sante-publique-france	1	6	0	3329395	Bretagne	23
2020-03-06	REG-53	sante-publique-france	2	3	0	3329395	Bretagne	23
2020-03-07	REG-53	sante-publique-france	3	8	0	3329395	Bretagne	23
2020-03-08	REG-53	sante-publique-france	4	0	0	3329395	Bretagne	23
2020-03-09	REG-53	sante-publique-france	5	0	0	3329395	Bretagne	23
2020-03-10	REG-53	sante-publique-france	6	41	0	3329395	Bretagne	23
2020-03-11	REG-53	sante-publique-france	7	13	0	3329395	Bretagne	23
2020-03-12	REG-53	sante-publique-france	8	23	0	3329395	Bretagne	23
2020-03-13	REG-53	sante-publique-france	9	38	0	3329395	Bretagne	23
2020-03-14	REG-53	sante-publique-france	10	27	0	3329395	Bretagne	23
2020-03-15	REG-53	sante-publique-france	11	25	0	3329395	Bretagne	23
2020-03-16	REG-53	sante-publique-france	12	26	0	3329395	Bretagne	23
2020-03-17	REG-53	sante-publique-france	13	14	0	3329395	Bretagne	23
2020-03-18	REG-53	sante-publique-france	14	26	0	3329395	Bretagne	23
2020-03-04	REG-75	sante-publique-france	0	5	0	5987014	NAquitaine	5
2020-03-05	REG-75	sante-publique-france	1	3	0	5987014	NAquitaine	5
2020-03-06	REG-75	sante-publique-france	2	3	0	5987014	NAquitaine	5
2020-03-07	REG-75	sante-publique-france	3	6	0	5987014	NAquitaine	5
2020-03-08	REG-75	sante-publique-france	4	0	0	5987014	NAquitaine	5
2020-03-09	REG-75	sante-publique-france	5	0	0	5987014	NAquitaine	5
2020-03-10	REG-75	sante-publique-france	6	37	0	5987014	NAquitaine	5
2020-03-11	REG-75	sante-publique-france	7	12	0	5987014	NAquitaine	5
2020-03-12	REG-75	sante-publique-france	8	21	0	5987014	NAquitaine	5
2020-03-13	REG-75	sante-publique-france	9	27	0	5987014	NAquitaine	5
2020-03-14	REG-75	sante-publique-france	10	16	0	5987014	NAquitaine	5
2020-03-15	REG-75	sante-publique-france	11	14	0	5987014	NAquitaine	5
2020-03-16	REG-75	sante-publique-france	12	34	0	5987014	NAquitaine	5
2020-03-17	REG-75	sante-publique-france	13	22	0	5987014	NAquitaine	5
2020-03-18	REG-75	sante-publique-france	14	37	0	5987014	NAquitaine	5
2020-03-04	REG-76	sante-publique-france	0	9	0	5892817	Occitanie	9
2020-03-05	REG-76	sante-publique-france	1	2	0	5892817	Occitanie	9
2020-03-06	REG-76	sante-publique-france	2	7	0	5892817	Occitanie	9
2020-03-07	REG-76	sante-publique-france	3	18	0	5892817	Occitanie	9
2020-03-08	REG-76	sante-publique-france	4	0	0	5892817	Occitanie	9
2020-03-09	REG-76	sante-publique-france	5	0	0	5892817	Occitanie	9
2020-03-10	REG-76	sante-publique-france	6	25	0	5892817	Occitanie	9
2020-03-11	REG-76	sante-publique-france	7	26	0	5892817	Occitanie	9
2020-03-12	REG-76	sante-publique-france	8	46	0	5892817	Occitanie	9
2020-03-13	REG-76	sante-publique-france	9	39	0	5892817	Occitanie	9
2020-03-14	REG-76	sante-publique-france	10	42	0	5892817	Occitanie	9
2020-03-15	REG-76	sante-publique-france	11	29	0	5892817	Occitanie	9
2020-03-16	REG-76	sante-publique-france	12	19	0	5892817	Occitanie	9
2020-03-17	REG-76	sante-publique-france	13	49	0	5892817	Occitanie	9
2020-03-18	REG-76	sante-publique-france	14	60	0	5892817	Occitanie	9
2020-03-04	REG-84	sante-publique-france	0	49	0	8026685	AURA	49
2020-03-05	REG-84	sante-publique-france	1	15	0	8026685	AURA	49
2020-03-06	REG-84	sante-publique-france	2	11	0	8026685	AURA	49
2020-03-07	REG-84	sante-publique-france	3	27	0	8026685	AURA	49
2020-03-08	REG-84	sante-publique-france	4	0	0	8026685	AURA	49
2020-03-09	REG-84	sante-publique-france	5	0	0	8026685	AURA	49
2020-03-10	REG-84	sante-publique-france	6	109	0	8026685	AURA	49
2020-03-11	REG-84	sante-publique-france	7	53	0	8026685	AURA	49
2020-03-12	REG-84	sante-publique-france	8	65	0	8026685	AURA	49
2020-03-13	REG-84	sante-publique-france	9	87	0	8026685	AURA	49
2020-03-14	REG-84	sante-publique-france	10	38	0	8026685	AURA	49
2020-03-15	REG-84	sante-publique-france	11	69	0	8026685	AURA	49
2020-03-16	REG-84	sante-publique-france	12	95	0	8026685	AURA	49
2020-03-17	REG-84	sante-publique-france	13	92	0	8026685	AURA	49
2020-03-18	REG-84	sante-publique-france	14	148	0	8026685	AURA	49
2020-03-04	REG-93	sante-publique-france	0	13	0	5059473	PACA	13
2020-03-05	REG-93	sante-publique-france	1	5	0	5059473	PACA	13
2020-03-06	REG-93	sante-publique-france	2	8	0	5059473	PACA	13
2020-03-07	REG-93	sante-publique-france	3	12	0	5059473	PACA	13
2020-03-08	REG-93	sante-publique-france	4	0	0	5059473	PACA	13
2020-03-09	REG-93	sante-publique-france	5	0	0	5059473	PACA	13
2020-03-10	REG-93	sante-publique-france	6	51	0	5059473	PACA	13
2020-03-11	REG-93	sante-publique-france	7	22	0	5059473	PACA	13
2020-03-12	REG-93	sante-publique-france	8	36	0	5059473	PACA	13
2020-03-13	REG-93	sante-publique-france	9	65	0	5059473	PACA	13
2020-03-14	REG-93	sante-publique-france	10	69	0	5059473	PACA	13
2020-03-15	REG-93	sante-publique-france	11	49	0	5059473	PACA	13
2020-03-16	REG-93	sante-publique-france	12	75	0	5059473	PACA	13
2020-03-17	REG-93	sante-publique-france	13	73	0	5059473	PACA	13
2020-03-18	REG-93	sante-publique-france	14	96	0	5059473	PACA	13
