date	maille_code	source_type	day	cas_confirmes_incident	deces_incident	popsize	initinfectious
2020-02-29	REG-75	agences-regionales-sante	36	3	0	5987014	1
2020-03-01	REG-75	agences-regionales-sante	37	0	0	5987014	1
2020-03-02	REG-75	agences-regionales-sante	38	0	0	5987014	1
2020-03-03	REG-75	agences-regionales-sante	39	0	0	5987014	1
2020-03-04	REG-75	agences-regionales-sante	40	1	0	5987014	1
2020-03-05	REG-75	agences-regionales-sante	41	3	0	5987014	1
2020-03-06	REG-75	agences-regionales-sante	42	3	0	5987014	1
2020-03-07	REG-75	agences-regionales-sante	43	4	0	5987014	1
2020-03-08	REG-75	agences-regionales-sante	44	14	0	5987014	1
2020-03-09	REG-75	agences-regionales-sante	45	10	0	5987014	1
2020-03-10	REG-75	agences-regionales-sante	46	16	0	5987014	1
2020-03-11	REG-75	agences-regionales-sante	47	17	0	5987014	1
2020-03-12	REG-75	agences-regionales-sante	48	16	0	5987014	1
2020-03-13	REG-75	agences-regionales-sante	49	27	0	5987014	1
2020-03-14	REG-75	agences-regionales-sante	50	18	0	5987014	1
2020-03-15	REG-75	agences-regionales-sante	51	19	2	5987014	1
2020-03-16	REG-75	agences-regionales-sante	52	27	0	5987014	1
2020-03-17	REG-75	agences-regionales-sante	53	28	0	5987014	1
2020-02-26	REG-32	agences-regionales-sante	0	2	1	5978266	2
2020-02-27	REG-32	agences-regionales-sante	1	0	0	5978266	2
2020-02-28	REG-32	agences-regionales-sante	2	0	0	5978266	2
2020-02-29	REG-32	agences-regionales-sante	3	0	0	5978266	2
2020-03-01	REG-32	agences-regionales-sante	4	0	0	5978266	2
2020-03-02	REG-32	agences-regionales-sante	5	0	0	5978266	2
2020-03-03	REG-32	agences-regionales-sante	6	0	0	5978266	2
2020-03-04	REG-32	agences-regionales-sante	7	0	0	5978266	2
2020-03-05	REG-32	agences-regionales-sante	8	0	0	5978266	2
2020-03-06	REG-32	agences-regionales-sante	9	0	0	5978266	2
2020-03-07	REG-32	agences-regionales-sante	10	0	0	5978266	2
2020-03-08	REG-32	agences-regionales-sante	11	0	0	5978266	2
2020-03-09	REG-32	agences-regionales-sante	12	179	14	5978266	2
2020-03-10	REG-32	agences-regionales-sante	13	41	1	5978266	2
2020-03-11	REG-32	agences-regionales-sante	14	0	0	5978266	2
2020-03-12	REG-32	agences-regionales-sante	15	115	4	5978266	2
2020-03-13	REG-32	agences-regionales-sante	16	31	6	5978266	2
2020-03-14	REG-32	agences-regionales-sante	17	95	3	5978266	2
2020-03-15	REG-32	agences-regionales-sante	18	0	0	5978266	2
2020-03-16	REG-32	agences-regionales-sante	19	124	10	5978266	2
2020-03-17	REG-32	agences-regionales-sante	20	26	7	5978266	2
2020-02-26	REG-44	agences-regionales-sante	0	1	0	5518188	1
2020-02-27	REG-44	agences-regionales-sante	1	0	0	5518188	1
2020-02-28	REG-44	agences-regionales-sante	2	0	0	5518188	1
2020-02-29	REG-44	agences-regionales-sante	3	0	0	5518188	1
2020-03-01	REG-44	agences-regionales-sante	4	0	0	5518188	1
2020-03-02	REG-44	agences-regionales-sante	5	6	0	5518188	1
2020-03-03	REG-44	agences-regionales-sante	6	0	0	5518188	1
2020-03-04	REG-44	agences-regionales-sante	7	19	0	5518188	1
2020-03-05	REG-44	agences-regionales-sante	8	0	0	5518188	1
2020-03-06	REG-44	agences-regionales-sante	9	55	0	5518188	1
2020-03-07	REG-44	agences-regionales-sante	10	0	0	5518188	1
2020-03-08	REG-44	agences-regionales-sante	11	181	3	5518188	1
2020-03-09	REG-44	agences-regionales-sante	12	48	1	5518188	1
2020-03-10	REG-44	agences-regionales-sante	13	154	1	5518188	1
2020-03-11	REG-44	agences-regionales-sante	14	123	4	5518188	1
2020-03-12	REG-44	agences-regionales-sante	15	0	0	5518188	1
2020-03-13	REG-44	agences-regionales-sante	16	323	12	5518188	1
2020-03-14	REG-44	agences-regionales-sante	17	175	3	5518188	1
2020-03-15	REG-44	agences-regionales-sante	18	293	21	5518188	1
2020-03-16	REG-44	agences-regionales-sante	19	165	6	5518188	1
2020-03-17	REG-44	agences-regionales-sante	20	277	10	5518188	1
2020-02-27	REG-27	agences-regionales-sante	0	2	0	2795301	2
2020-02-28	REG-27	agences-regionales-sante	1	0	0	2795301	2
2020-02-29	REG-27	agences-regionales-sante	2	0	0	2795301	2
2020-03-01	REG-27	agences-regionales-sante	3	0	0	2795301	2
2020-03-02	REG-27	agences-regionales-sante	4	30	0	2795301	2
2020-03-03	REG-27	agences-regionales-sante	5	0	0	2795301	2
2020-03-04	REG-27	agences-regionales-sante	6	9.5	0	2795301	2
2020-03-05	REG-27	agences-regionales-sante	7	18.5	0	2795301	2
2020-03-06	REG-27	agences-regionales-sante	8	30	0	2795301	2
2020-03-07	REG-27	agences-regionales-sante	9	32	0	2795301	2
2020-03-08	REG-27	agences-regionales-sante	10	13.5	0.5	2795301	2
2020-03-09	REG-27	agences-regionales-sante	11	21.5	1	2795301	2
2020-03-10	REG-27	agences-regionales-sante	12	36.5	0.5	2795301	2
2020-03-11	REG-27	agences-regionales-sante	13	26.5	1	2795301	2
2020-03-12	REG-27	agences-regionales-sante	14	62.5	3	2795301	2
2020-03-13	REG-27	agences-regionales-sante	15	0	-1	2795301	2
2020-03-14	REG-27	agences-regionales-sante	16	122.5	4	2795301	2
2020-03-15	REG-27	agences-regionales-sante	17	73	3	2795301	2
2020-03-16	REG-27	agences-regionales-sante	18	94.5	1	2795301	2
2020-03-17	REG-27	agences-regionales-sante	19	0	4	2795301	2
2020-03-18	REG-27	agences-regionales-sante	20	0	10	2795301	2
2020-02-28	REG-28	agences-regionales-sante	0	1	0	3319067	1
2020-02-29	REG-28	agences-regionales-sante	1	0	0	3319067	1
2020-03-01	REG-28	agences-regionales-sante	2	0	0	3319067	1
2020-03-02	REG-28	agences-regionales-sante	3	1	0	3319067	1
2020-03-03	REG-28	agences-regionales-sante	4	0	0	3319067	1
2020-03-04	REG-28	agences-regionales-sante	5	0	0	3319067	1
2020-03-05	REG-28	agences-regionales-sante	6	0	0	3319067	1
2020-03-06	REG-28	agences-regionales-sante	7	0	0	3319067	1
2020-03-07	REG-28	agences-regionales-sante	8	8	1	3319067	1
2020-03-08	REG-28	agences-regionales-sante	9	12	0	3319067	1
2020-03-09	REG-28	agences-regionales-sante	10	3	0	3319067	1
2020-03-10	REG-28	agences-regionales-sante	11	14	0	3319067	1
2020-03-11	REG-28	agences-regionales-sante	12	18	0	3319067	1
2020-03-12	REG-28	agences-regionales-sante	13	11	0	3319067	1
2020-03-13	REG-28	agences-regionales-sante	14	29	0	3319067	1
2020-03-14	REG-28	agences-regionales-sante	15	30	0	3319067	1
2020-03-15	REG-28	agences-regionales-sante	16	16	0	3319067	1
2020-03-16	REG-28	agences-regionales-sante	17	0	0	3319067	1
2020-03-17	REG-28	agences-regionales-sante	18	0	0	3319067	1
2020-03-18	REG-28	agences-regionales-sante	19	65	2	3319067	1
2020-03-04	REG-03	agences-regionales-sante	0	5	0	296711	5
2020-03-05	REG-03	agences-regionales-sante	1	0	0	296711	5
2020-03-06	REG-03	agences-regionales-sante	2	0	0	296711	5
2020-03-07	REG-03	agences-regionales-sante	3	0	0	296711	5
2020-03-08	REG-03	agences-regionales-sante	4	0	0	296711	5
2020-03-09	REG-03	agences-regionales-sante	5	0	0	296711	5
2020-03-10	REG-03	agences-regionales-sante	6	0	0	296711	5
2020-03-11	REG-03	agences-regionales-sante	7	1	0	296711	5
2020-03-12	REG-03	agences-regionales-sante	8	0	0	296711	5
2020-03-13	REG-03	agences-regionales-sante	9	0	0	296711	5
2020-03-14	REG-03	agences-regionales-sante	10	1	0	296711	5
2020-03-15	REG-03	agences-regionales-sante	11	4	0	296711	5
2020-03-04	REG-53	agences-regionales-sante	0	24	0	3329395	24
2020-03-05	REG-53	agences-regionales-sante	1	7	0	3329395	24
2020-03-06	REG-53	agences-regionales-sante	2	3	0	3329395	24
2020-03-07	REG-53	agences-regionales-sante	3	13	0	3329395	24
2020-03-08	REG-53	agences-regionales-sante	4	12	0	3329395	24
2020-03-09	REG-53	agences-regionales-sante	5	12	0	3329395	24
2020-03-10	REG-53	agences-regionales-sante	6	10	0	3329395	24
2020-03-11	REG-53	agences-regionales-sante	7	12	1	3329395	24
2020-03-12	REG-53	agences-regionales-sante	8	27	2	3329395	24
2020-03-13	REG-53	agences-regionales-sante	9	37	0	3329395	24
2020-03-14	REG-53	agences-regionales-sante	10	21	0	3329395	24
2020-03-15	REG-53	agences-regionales-sante	11	17	0	3329395	24
2020-03-16	REG-53	agences-regionales-sante	12	18	0	3329395	24
2020-03-17	REG-53	agences-regionales-sante	13	23	0	3329395	24
2020-03-18	REG-53	agences-regionales-sante	14	16	4	3329395	24
2020-03-04	REG-93	agences-regionales-sante	0	18	0	5059473	18
2020-03-05	REG-93	agences-regionales-sante	1	8	0	5059473	18
2020-03-06	REG-93	agences-regionales-sante	2	5	0	5059473	18
2020-03-07	REG-93	agences-regionales-sante	3	6	0	5059473	18
2020-03-08	REG-93	agences-regionales-sante	4	15	0	5059473	18
2020-03-09	REG-93	agences-regionales-sante	5	20	0	5059473	18
2020-03-10	REG-93	agences-regionales-sante	6	18	0	5059473	18
2020-03-11	REG-93	agences-regionales-sante	7	22	0	5059473	18
2020-03-12	REG-93	agences-regionales-sante	8	39	0	5059473	18
2020-03-13	REG-93	agences-regionales-sante	9	60	0	5059473	18
2020-03-14	REG-93	agences-regionales-sante	10	0	0	5059473	18
2020-03-15	REG-93	agences-regionales-sante	11	0	0	5059473	18
2020-03-16	REG-93	agences-regionales-sante	12	0	0	5059473	18
2020-03-17	REG-93	agences-regionales-sante	13	270	4	5059473	18
2020-03-05	REG-11	agences-regionales-sante	0	77	0	12213364	77
2020-03-06	REG-11	agences-regionales-sante	1	54	1	12213364	77
2020-03-07	REG-11	agences-regionales-sante	2	30	0	12213364	77
2020-03-08	REG-11	agences-regionales-sante	3	65	0	12213364	77
2020-03-09	REG-11	agences-regionales-sante	4	57	0	12213364	77
2020-03-10	REG-11	agences-regionales-sante	5	0	3	12213364	77
2020-03-11	REG-11	agences-regionales-sante	6	229	0	12213364	77
2020-03-12	REG-11	agences-regionales-sante	7	93	0	12213364	77
2020-03-13	REG-11	agences-regionales-sante	8	271	-4	12213364	77
2020-03-14	REG-11	agences-regionales-sante	9	364	0	12213364	77
2020-03-15	REG-11	agences-regionales-sante	10	0	0	12213364	77
2020-03-16	REG-11	agences-regionales-sante	11	0	0	12213364	77
2020-03-17	REG-11	agences-regionales-sante	12	0	0	12213364	77
2020-03-05	REG-24	agences-regionales-sante	0	3	0	2566759	3
2020-03-06	REG-24	agences-regionales-sante	1	4	0	2566759	3
2020-03-07	REG-24	agences-regionales-sante	2	0	0	2566759	3
2020-03-08	REG-24	agences-regionales-sante	3	10	0	2566759	3
2020-03-09	REG-24	agences-regionales-sante	4	0	0	2566759	3
2020-03-10	REG-24	agences-regionales-sante	5	0	0	2566759	3
2020-03-11	REG-24	agences-regionales-sante	6	3	0	2566759	3
2020-03-12	REG-24	agences-regionales-sante	7	10	0	2566759	3
2020-03-13	REG-24	agences-regionales-sante	8	3	0	2566759	3
2020-03-14	REG-24	agences-regionales-sante	9	21	0	2566759	3
2020-03-15	REG-24	agences-regionales-sante	10	0	0	2566759	3
2020-03-16	REG-24	agences-regionales-sante	11	36	0	2566759	3
2020-03-17	REG-24	agences-regionales-sante	12	13	1	2566759	3
2020-03-18	REG-24	agences-regionales-sante	13	25	0	2566759	3
2020-03-05	REG-94	agences-regionales-sante	0	3	0	339178	3
2020-03-06	REG-94	agences-regionales-sante	1	2	0	339178	3
2020-03-07	REG-94	agences-regionales-sante	2	14	0	339178	3
2020-03-08	REG-94	agences-regionales-sante	3	0	0	339178	3
2020-03-09	REG-94	agences-regionales-sante	4	19	1	339178	3
2020-03-10	REG-94	agences-regionales-sante	5	4	1	339178	3
2020-03-11	REG-94	agences-regionales-sante	6	9	1	339178	3
2020-03-12	REG-94	agences-regionales-sante	7	13	0	339178	3
2020-03-13	REG-94	agences-regionales-sante	8	21	2	339178	3
2020-03-14	REG-94	agences-regionales-sante	9	21	0	339178	3
2020-03-15	REG-94	agences-regionales-sante	10	9	0	339178	3
2020-03-16	REG-94	agences-regionales-sante	11	11	2	339178	3
2020-03-17	REG-94	agences-regionales-sante	12	19	-7	339178	3
2020-03-18	REG-94	agences-regionales-sante	13	7	0	339178	3
2020-03-06	REG-52	agences-regionales-sante	0	12	0	3786545	12
2020-03-07	REG-52	agences-regionales-sante	1	0	0	3786545	12
2020-03-08	REG-52	agences-regionales-sante	2	12	0	3786545	12
2020-03-09	REG-52	agences-regionales-sante	3	0	0	3786545	12
2020-03-10	REG-52	agences-regionales-sante	4	3	0	3786545	12
2020-03-11	REG-52	agences-regionales-sante	5	0	0	3786545	12
2020-03-12	REG-52	agences-regionales-sante	6	15	0	3786545	12
2020-03-13	REG-52	agences-regionales-sante	7	14	0	3786545	12
2020-03-14	REG-52	agences-regionales-sante	8	26	0	3786545	12
2020-03-15	REG-52	agences-regionales-sante	9	17	0	3786545	12
2020-03-16	REG-52	agences-regionales-sante	10	10	0	3786545	12
2020-03-17	REG-52	agences-regionales-sante	11	0	1	3786545	12
2020-03-07	REG-76	agences-regionales-sante	0	29	0	5892817	29
2020-03-08	REG-76	agences-regionales-sante	1	0	0	5892817	29
2020-03-09	REG-76	agences-regionales-sante	2	31	0	5892817	29
2020-03-10	REG-76	agences-regionales-sante	3	0	0	5892817	29
2020-03-11	REG-76	agences-regionales-sante	4	58	0	5892817	29
2020-03-12	REG-76	agences-regionales-sante	5	32	0	5892817	29
2020-03-13	REG-76	agences-regionales-sante	6	25	0	5892817	29
2020-03-14	REG-76	agences-regionales-sante	7	35	0	5892817	29
2020-03-15	REG-76	agences-regionales-sante	8	44	1	5892817	29
2020-03-16	REG-76	agences-regionales-sante	9	30	2	5892817	29
2020-03-17	REG-76	agences-regionales-sante	10	29	2	5892817	29
2020-03-18	REG-76	agences-regionales-sante	11	76	5	5892817	29
2020-03-11	REG-01	agences-regionales-sante	0	0	0	382704	0
2020-03-12	REG-01	agences-regionales-sante	1	0	0	382704	0
2020-03-13	REG-01	agences-regionales-sante	2	1	0	382704	0
2020-03-14	REG-01	agences-regionales-sante	3	4	0	382704	0
2020-03-15	REG-01	agences-regionales-sante	4	0	0	382704	0
2020-03-16	REG-01	agences-regionales-sante	5	13	0	382704	0
2020-03-17	REG-01	agences-regionales-sante	6	9	0	382704	0
2020-03-16	REG-02	agences-regionales-sante	0	16	0	364354	16
