date	maille_code	source_type	day	cas_confirmes_incident	deces_incident	popsize	goodID	initinfectious	cumul
2020-03-10	REG-52	sante-publique-france	5	9	0	3786545	PaysLoire	8	128
2020-03-11	REG-52	sante-publique-france	6	7	0	3786545	PaysLoire	8	128
2020-03-12	REG-52	sante-publique-france	7	7	0	3786545	PaysLoire	8	128
2020-03-13	REG-52	sante-publique-france	8	14	0	3786545	PaysLoire	8	128
2020-03-14	REG-52	sante-publique-france	9	27	0	3786545	PaysLoire	8	128
2020-03-15	REG-52	sante-publique-france	10	16	0	3786545	PaysLoire	8	128
2020-03-16	REG-52	sante-publique-france	11	10	0	3786545	PaysLoire	8	128
2020-03-17	REG-52	sante-publique-france	12	18	0	3786545	PaysLoire	8	128
2020-03-18	REG-52	sante-publique-france	13	2	0	3786545	PaysLoire	8	128
2020-03-05	REG-53	sante-publique-france	0	29	0	3329395	Bretagne	29	273
2020-03-06	REG-53	sante-publique-france	1	3	0	3329395	Bretagne	29	273
2020-03-07	REG-53	sante-publique-france	2	8	0	3329395	Bretagne	29	273
2020-03-08	REG-53	sante-publique-france	3	0	0	3329395	Bretagne	29	273
2020-03-09	REG-53	sante-publique-france	4	0	0	3329395	Bretagne	29	273
2020-03-10	REG-53	sante-publique-france	5	41	0	3329395	Bretagne	29	273
2020-03-11	REG-53	sante-publique-france	6	13	0	3329395	Bretagne	29	273
2020-03-12	REG-53	sante-publique-france	7	23	0	3329395	Bretagne	29	273
2020-03-13	REG-53	sante-publique-france	8	38	0	3329395	Bretagne	29	273
2020-03-14	REG-53	sante-publique-france	9	27	0	3329395	Bretagne	29	273
2020-03-15	REG-53	sante-publique-france	10	25	0	3329395	Bretagne	29	273
2020-03-16	REG-53	sante-publique-france	11	26	0	3329395	Bretagne	29	273
2020-03-17	REG-53	sante-publique-france	12	14	0	3329395	Bretagne	29	273
2020-03-18	REG-53	sante-publique-france	13	26	0	3329395	Bretagne	29	273
2020-03-05	REG-75	sante-publique-france	0	8	0	5987014	NAquitaine	8	237
2020-03-06	REG-75	sante-publique-france	1	3	0	5987014	NAquitaine	8	237
2020-03-07	REG-75	sante-publique-france	2	6	0	5987014	NAquitaine	8	237
2020-03-08	REG-75	sante-publique-france	3	0	0	5987014	NAquitaine	8	237
2020-03-09	REG-75	sante-publique-france	4	0	0	5987014	NAquitaine	8	237
2020-03-10	REG-75	sante-publique-france	5	37	0	5987014	NAquitaine	8	237
2020-03-11	REG-75	sante-publique-france	6	12	0	5987014	NAquitaine	8	237
2020-03-12	REG-75	sante-publique-france	7	21	0	5987014	NAquitaine	8	237
2020-03-13	REG-75	sante-publique-france	8	27	0	5987014	NAquitaine	8	237
2020-03-14	REG-75	sante-publique-france	9	16	0	5987014	NAquitaine	8	237
2020-03-15	REG-75	sante-publique-france	10	14	0	5987014	NAquitaine	8	237
2020-03-16	REG-75	sante-publique-france	11	34	0	5987014	NAquitaine	8	237
2020-03-17	REG-75	sante-publique-france	12	22	0	5987014	NAquitaine	8	237
2020-03-18	REG-75	sante-publique-france	13	37	0	5987014	NAquitaine	8	237
2020-03-05	REG-76	sante-publique-france	0	11	0	5892817	Occitanie	11	371
2020-03-06	REG-76	sante-publique-france	1	7	0	5892817	Occitanie	11	371
2020-03-07	REG-76	sante-publique-france	2	18	0	5892817	Occitanie	11	371
2020-03-08	REG-76	sante-publique-france	3	0	0	5892817	Occitanie	11	371
2020-03-09	REG-76	sante-publique-france	4	0	0	5892817	Occitanie	11	371
2020-03-10	REG-76	sante-publique-france	5	25	0	5892817	Occitanie	11	371
2020-03-11	REG-76	sante-publique-france	6	26	0	5892817	Occitanie	11	371
2020-03-12	REG-76	sante-publique-france	7	46	0	5892817	Occitanie	11	371
2020-03-13	REG-76	sante-publique-france	8	39	0	5892817	Occitanie	11	371
2020-03-14	REG-76	sante-publique-france	9	42	0	5892817	Occitanie	11	371
2020-03-15	REG-76	sante-publique-france	10	29	0	5892817	Occitanie	11	371
2020-03-16	REG-76	sante-publique-france	11	19	0	5892817	Occitanie	11	371
2020-03-17	REG-76	sante-publique-france	12	49	0	5892817	Occitanie	11	371
2020-03-18	REG-76	sante-publique-france	13	60	0	5892817	Occitanie	11	371
2020-03-05	REG-84	sante-publique-france	0	64	0	8026685	AURA	64	858
2020-03-06	REG-84	sante-publique-france	1	11	0	8026685	AURA	64	858
2020-03-07	REG-84	sante-publique-france	2	27	0	8026685	AURA	64	858
2020-03-08	REG-84	sante-publique-france	3	0	0	8026685	AURA	64	858
2020-03-09	REG-84	sante-publique-france	4	0	0	8026685	AURA	64	858
2020-03-10	REG-84	sante-publique-france	5	109	0	8026685	AURA	64	858
2020-03-11	REG-84	sante-publique-france	6	53	0	8026685	AURA	64	858
2020-03-12	REG-84	sante-publique-france	7	65	0	8026685	AURA	64	858
2020-03-13	REG-84	sante-publique-france	8	87	0	8026685	AURA	64	858
2020-03-14	REG-84	sante-publique-france	9	38	0	8026685	AURA	64	858
2020-03-15	REG-84	sante-publique-france	10	69	0	8026685	AURA	64	858
2020-03-16	REG-84	sante-publique-france	11	95	0	8026685	AURA	64	858
2020-03-17	REG-84	sante-publique-france	12	92	0	8026685	AURA	64	858
2020-03-18	REG-84	sante-publique-france	13	148	0	8026685	AURA	64	858
2020-03-05	REG-93	sante-publique-france	0	18	0	5059473	PACA	18	574
2020-03-06	REG-93	sante-publique-france	1	8	0	5059473	PACA	18	574
2020-03-07	REG-93	sante-publique-france	2	12	0	5059473	PACA	18	574
2020-03-08	REG-93	sante-publique-france	3	0	0	5059473	PACA	18	574
2020-03-09	REG-93	sante-publique-france	4	0	0	5059473	PACA	18	574
2020-03-10	REG-93	sante-publique-france	5	51	0	5059473	PACA	18	574
2020-03-11	REG-93	sante-publique-france	6	22	0	5059473	PACA	18	574
2020-03-12	REG-93	sante-publique-france	7	36	0	5059473	PACA	18	574
2020-03-13	REG-93	sante-publique-france	8	65	0	5059473	PACA	18	574
2020-03-14	REG-93	sante-publique-france	9	69	0	5059473	PACA	18	574
2020-03-15	REG-93	sante-publique-france	10	49	0	5059473	PACA	18	574
2020-03-16	REG-93	sante-publique-france	11	75	0	5059473	PACA	18	574
2020-03-17	REG-93	sante-publique-france	12	73	0	5059473	PACA	18	574
2020-03-18	REG-93	sante-publique-france	13	96	0	5059473	PACA	18	574
2020-03-06	REG-94	sante-publique-france	0	3	0	339178	Corse	3	152
2020-03-07	REG-94	sante-publique-france	1	2	0	339178	Corse	3	152
2020-03-08	REG-94	sante-publique-france	2	0	0	339178	Corse	3	152
2020-03-09	REG-94	sante-publique-france	3	0	0	339178	Corse	3	152
2020-03-10	REG-94	sante-publique-france	4	37	0	339178	Corse	3	152
2020-03-11	REG-94	sante-publique-france	5	9	0	339178	Corse	3	152
2020-03-12	REG-94	sante-publique-france	6	13	0	339178	Corse	3	152
2020-03-13	REG-94	sante-publique-france	7	21	0	339178	Corse	3	152
2020-03-14	REG-94	sante-publique-france	8	21	0	339178	Corse	3	152
2020-03-15	REG-94	sante-publique-france	9	9	0	339178	Corse	3	152
2020-03-16	REG-94	sante-publique-france	10	11	0	339178	Corse	3	152
2020-03-17	REG-94	sante-publique-france	11	19	0	339178	Corse	3	152
2020-03-18	REG-94	sante-publique-france	12	7	0	339178	Corse	3	152
