date	maille_code	source_type	day	cas_confirmes_incident	deces_incident	hospitalisation_incident	popsize	goodID	initinfectious	cumul
2020-03-06	REG-24	sante-publique-france	0	11	0	NA	2566759	Centre	11	254
2020-03-07	REG-24	sante-publique-france	1	5	0	0	2566759	Centre	11	254
2020-03-08	REG-24	sante-publique-france	2	0	0	1	2566759	Centre	11	254
2020-03-09	REG-24	sante-publique-france	3	0	0	1	2566759	Centre	11	254
2020-03-10	REG-24	sante-publique-france	4	2	0	1	2566759	Centre	11	254
2020-03-11	REG-24	sante-publique-france	5	2	0	0	2566759	Centre	11	254
2020-03-12	REG-24	sante-publique-france	6	10	0	1	2566759	Centre	11	254
2020-03-13	REG-24	sante-publique-france	7	3	0	1	2566759	Centre	11	254
2020-03-14	REG-24	sante-publique-france	8	21	0	2	2566759	Centre	11	254
2020-03-15	REG-24	sante-publique-france	9	17	0	5	2566759	Centre	11	254
2020-03-16	REG-24	sante-publique-france	10	19	0	6	2566759	Centre	11	254
2020-03-17	REG-24	sante-publique-france	11	13	0	10	2566759	Centre	11	254
2020-03-18	REG-24	sante-publique-france	12	25	0	1	2566759	Centre	11	254
2020-03-19	REG-24	sante-publique-france	13	29	0	NA	2566759	Centre	11	254
2020-03-20	REG-24	sante-publique-france	14	62	0	NA	2566759	Centre	11	254
2020-03-21	REG-24	sante-publique-france	15	35	0	NA	2566759	Centre	11	254
2020-03-02	REG-27	sante-publique-france	0	8	0	NA	2795301	BFC	8	903
2020-03-03	REG-27	sante-publique-france	1	0	0	10	2795301	BFC	8	903
2020-03-04	REG-27	sante-publique-france	2	8	0	10	2795301	BFC	8	903
2020-03-05	REG-27	sante-publique-france	3	23	0	12	2795301	BFC	8	903
2020-03-06	REG-27	sante-publique-france	4	39	0	13	2795301	BFC	8	903
2020-03-07	REG-27	sante-publique-france	5	51	0	15	2795301	BFC	8	903
2020-03-08	REG-27	sante-publique-france	6	0	0	20	2795301	BFC	8	903
2020-03-09	REG-27	sante-publique-france	7	0	0	13	2795301	BFC	8	903
2020-03-10	REG-27	sante-publique-france	8	17	0	28	2795301	BFC	8	903
2020-03-11	REG-27	sante-publique-france	9	9	0	16	2795301	BFC	8	903
2020-03-12	REG-27	sante-publique-france	10	64	0	34	2795301	BFC	8	903
2020-03-13	REG-27	sante-publique-france	11	53	0	44	2795301	BFC	8	903
2020-03-14	REG-27	sante-publique-france	12	67	0	29	2795301	BFC	8	903
2020-03-15	REG-27	sante-publique-france	13	73	0	28	2795301	BFC	8	903
2020-03-16	REG-27	sante-publique-france	14	95	0	35	2795301	BFC	8	903
2020-03-17	REG-27	sante-publique-france	15	42	0	38	2795301	BFC	8	903
2020-03-18	REG-27	sante-publique-france	16	44	0	17	2795301	BFC	8	903
2020-03-19	REG-27	sante-publique-france	17	103	0	NA	2795301	BFC	8	903
2020-03-20	REG-27	sante-publique-france	18	74	0	NA	2795301	BFC	8	903
2020-03-21	REG-27	sante-publique-france	19	133	0	NA	2795301	BFC	8	903
2020-03-04	REG-28	sante-publique-france	0	2	0	NA	3319067	Normandie	2	345
2020-03-05	REG-28	sante-publique-france	1	4	0	4	3319067	Normandie	2	345
2020-03-06	REG-28	sante-publique-france	2	5	0	0	3319067	Normandie	2	345
2020-03-07	REG-28	sante-publique-france	3	0	0	2	3319067	Normandie	2	345
2020-03-08	REG-28	sante-publique-france	4	0	0	1	3319067	Normandie	2	345
2020-03-09	REG-28	sante-publique-france	5	0	0	1	3319067	Normandie	2	345
2020-03-10	REG-28	sante-publique-france	6	26	0	1	3319067	Normandie	2	345
2020-03-11	REG-28	sante-publique-france	7	17	0	2	3319067	Normandie	2	345
2020-03-12	REG-28	sante-publique-france	8	14	0	2	3319067	Normandie	2	345
2020-03-13	REG-28	sante-publique-france	9	29	0	9	3319067	Normandie	2	345
2020-03-14	REG-28	sante-publique-france	10	30	0	4	3319067	Normandie	2	345
2020-03-15	REG-28	sante-publique-france	11	16	0	4	3319067	Normandie	2	345
2020-03-16	REG-28	sante-publique-france	12	13	0	3	3319067	Normandie	2	345
2020-03-17	REG-28	sante-publique-france	13	18	0	7	3319067	Normandie	2	345
2020-03-18	REG-28	sante-publique-france	14	34	0	8	3319067	Normandie	2	345
2020-03-19	REG-28	sante-publique-france	15	33	0	NA	3319067	Normandie	2	345
2020-03-20	REG-28	sante-publique-france	16	46	0	NA	3319067	Normandie	2	345
2020-03-21	REG-28	sante-publique-france	17	58	0	NA	3319067	Normandie	2	345
2020-03-02	REG-32	sante-publique-france	0	45	0	NA	5978266	HDF	45	791
2020-03-03	REG-32	sante-publique-france	1	0	0	1	5978266	HDF	45	791
2020-03-04	REG-32	sante-publique-france	2	20	0	0	5978266	HDF	45	791
2020-03-05	REG-32	sante-publique-france	3	9	0	3	5978266	HDF	45	791
2020-03-06	REG-32	sante-publique-france	4	23	0	2	5978266	HDF	45	791
2020-03-07	REG-32	sante-publique-france	5	76	0	3	5978266	HDF	45	791
2020-03-08	REG-32	sante-publique-france	6	0	0	3	5978266	HDF	45	791
2020-03-09	REG-32	sante-publique-france	7	0	0	6	5978266	HDF	45	791
2020-03-10	REG-32	sante-publique-france	8	36	0	10	5978266	HDF	45	791
2020-03-11	REG-32	sante-publique-france	9	54	0	13	5978266	HDF	45	791
2020-03-12	REG-32	sante-publique-france	10	86	0	10	5978266	HDF	45	791
2020-03-13	REG-32	sante-publique-france	11	48	0	18	5978266	HDF	45	791
2020-03-14	REG-32	sante-publique-france	12	69	0	17	5978266	HDF	45	791
2020-03-15	REG-32	sante-publique-france	13	41	0	17	5978266	HDF	45	791
2020-03-16	REG-32	sante-publique-france	14	78	0	24	5978266	HDF	45	791
2020-03-17	REG-32	sante-publique-france	15	27	0	28	5978266	HDF	45	791
2020-03-18	REG-32	sante-publique-france	16	53	0	16	5978266	HDF	45	791
2020-03-19	REG-32	sante-publique-france	17	35	0	NA	5978266	HDF	45	791
2020-03-20	REG-32	sante-publique-france	18	59	0	NA	5978266	HDF	45	791
2020-03-21	REG-32	sante-publique-france	19	32	0	NA	5978266	HDF	45	791
2020-03-02	REG-44	sante-publique-france	0	12	0	NA	5518188	GrandEst	12	3089
2020-03-03	REG-44	sante-publique-france	1	0	0	2	5518188	GrandEst	12	3089
2020-03-04	REG-44	sante-publique-france	2	26	0	4	5518188	GrandEst	12	3089
2020-03-05	REG-44	sante-publique-france	3	39	0	8	5518188	GrandEst	12	3089
2020-03-06	REG-44	sante-publique-france	4	59	0	14	5518188	GrandEst	12	3089
2020-03-07	REG-44	sante-publique-france	5	114	0	23	5518188	GrandEst	12	3089
2020-03-08	REG-44	sante-publique-france	6	0	0	13	5518188	GrandEst	12	3089
2020-03-09	REG-44	sante-publique-france	7	0	0	20	5518188	GrandEst	12	3089
2020-03-10	REG-44	sante-publique-france	8	214	0	30	5518188	GrandEst	12	3089
2020-03-11	REG-44	sante-publique-france	9	114	0	36	5518188	GrandEst	12	3089
2020-03-12	REG-44	sante-publique-france	10	121	0	29	5518188	GrandEst	12	3089
2020-03-13	REG-44	sante-publique-france	11	212	0	57	5518188	GrandEst	12	3089
2020-03-14	REG-44	sante-publique-france	12	174	0	61	5518188	GrandEst	12	3089
2020-03-15	REG-44	sante-publique-france	13	293	0	77	5518188	GrandEst	12	3089
2020-03-16	REG-44	sante-publique-france	14	165	0	121	5518188	GrandEst	12	3089
2020-03-17	REG-44	sante-publique-france	15	277	0	100	5518188	GrandEst	12	3089
2020-03-18	REG-44	sante-publique-france	16	343	0	97	5518188	GrandEst	12	3089
2020-03-19	REG-44	sante-publique-france	17	480	0	NA	5518188	GrandEst	12	3089
2020-03-20	REG-44	sante-publique-france	18	363	0	NA	5518188	GrandEst	12	3089
2020-03-21	REG-44	sante-publique-france	19	83	0	NA	5518188	GrandEst	12	3089
2020-03-02	REG-52	sante-publique-france	0	5	0	NA	3786545	PaysLoire	5	234
2020-03-03	REG-52	sante-publique-france	1	0	0	13	3786545	PaysLoire	5	234
2020-03-04	REG-52	sante-publique-france	2	2	0	11	3786545	PaysLoire	5	234
2020-03-05	REG-52	sante-publique-france	3	1	0	5	3786545	PaysLoire	5	234
2020-03-06	REG-52	sante-publique-france	4	8	0	10	3786545	PaysLoire	5	234
2020-03-07	REG-52	sante-publique-france	5	2	0	4	3786545	PaysLoire	5	234
2020-03-08	REG-52	sante-publique-france	6	0	0	13	3786545	PaysLoire	5	234
2020-03-09	REG-52	sante-publique-france	7	0	0	8	3786545	PaysLoire	5	234
2020-03-10	REG-52	sante-publique-france	8	9	0	7	3786545	PaysLoire	5	234
2020-03-11	REG-52	sante-publique-france	9	7	0	9	3786545	PaysLoire	5	234
2020-03-12	REG-52	sante-publique-france	10	7	0	8	3786545	PaysLoire	5	234
2020-03-13	REG-52	sante-publique-france	11	14	0	9	3786545	PaysLoire	5	234
2020-03-14	REG-52	sante-publique-france	12	27	0	6	3786545	PaysLoire	5	234
2020-03-15	REG-52	sante-publique-france	13	16	0	15	3786545	PaysLoire	5	234
2020-03-16	REG-52	sante-publique-france	14	10	0	16	3786545	PaysLoire	5	234
2020-03-17	REG-52	sante-publique-france	15	18	0	24	3786545	PaysLoire	5	234
2020-03-18	REG-52	sante-publique-france	16	2	0	6	3786545	PaysLoire	5	234
2020-03-19	REG-52	sante-publique-france	17	32	0	NA	3786545	PaysLoire	5	234
2020-03-20	REG-52	sante-publique-france	18	30	0	NA	3786545	PaysLoire	5	234
2020-03-21	REG-52	sante-publique-france	19	44	0	NA	3786545	PaysLoire	5	234
2020-03-02	REG-53	sante-publique-france	0	13	0	NA	3329395	Bretagne	13	359
2020-03-03	REG-53	sante-publique-france	1	0	0	1	3329395	Bretagne	13	359
2020-03-04	REG-53	sante-publique-france	2	10	0	0	3329395	Bretagne	13	359
2020-03-05	REG-53	sante-publique-france	3	6	0	0	3329395	Bretagne	13	359
2020-03-06	REG-53	sante-publique-france	4	3	0	2	3329395	Bretagne	13	359
2020-03-07	REG-53	sante-publique-france	5	8	0	0	3329395	Bretagne	13	359
2020-03-08	REG-53	sante-publique-france	6	0	0	0	3329395	Bretagne	13	359
2020-03-09	REG-53	sante-publique-france	7	0	0	0	3329395	Bretagne	13	359
2020-03-10	REG-53	sante-publique-france	8	41	0	1	3329395	Bretagne	13	359
2020-03-11	REG-53	sante-publique-france	9	13	0	0	3329395	Bretagne	13	359
2020-03-12	REG-53	sante-publique-france	10	23	0	3	3329395	Bretagne	13	359
2020-03-13	REG-53	sante-publique-france	11	38	0	1	3329395	Bretagne	13	359
2020-03-14	REG-53	sante-publique-france	12	27	0	4	3329395	Bretagne	13	359
2020-03-15	REG-53	sante-publique-france	13	25	0	7	3329395	Bretagne	13	359
2020-03-16	REG-53	sante-publique-france	14	26	0	11	3329395	Bretagne	13	359
2020-03-17	REG-53	sante-publique-france	15	14	0	15	3329395	Bretagne	13	359
2020-03-18	REG-53	sante-publique-france	16	26	0	8	3329395	Bretagne	13	359
2020-03-19	REG-53	sante-publique-france	17	24	0	NA	3329395	Bretagne	13	359
2020-03-20	REG-53	sante-publique-france	18	49	0	NA	3329395	Bretagne	13	359
2020-03-21	REG-53	sante-publique-france	19	13	0	NA	3329395	Bretagne	13	359
2020-03-02	REG-75	sante-publique-france	0	4	0	NA	5987014	NAquitaine	4	521
2020-03-03	REG-75	sante-publique-france	1	0	0	2	5987014	NAquitaine	4	521
2020-03-04	REG-75	sante-publique-france	2	1	0	3	5987014	NAquitaine	4	521
2020-03-05	REG-75	sante-publique-france	3	3	0	1	5987014	NAquitaine	4	521
2020-03-06	REG-75	sante-publique-france	4	3	0	2	5987014	NAquitaine	4	521
2020-03-07	REG-75	sante-publique-france	5	6	0	6	5987014	NAquitaine	4	521
2020-03-08	REG-75	sante-publique-france	6	0	0	8	5987014	NAquitaine	4	521
2020-03-09	REG-75	sante-publique-france	7	0	0	2	5987014	NAquitaine	4	521
2020-03-10	REG-75	sante-publique-france	8	37	0	5	5987014	NAquitaine	4	521
2020-03-11	REG-75	sante-publique-france	9	12	0	4	5987014	NAquitaine	4	521
2020-03-12	REG-75	sante-publique-france	10	21	0	12	5987014	NAquitaine	4	521
2020-03-13	REG-75	sante-publique-france	11	27	0	6	5987014	NAquitaine	4	521
2020-03-14	REG-75	sante-publique-france	12	16	0	12	5987014	NAquitaine	4	521
2020-03-15	REG-75	sante-publique-france	13	14	0	9	5987014	NAquitaine	4	521
2020-03-16	REG-75	sante-publique-france	14	34	0	26	5987014	NAquitaine	4	521
2020-03-17	REG-75	sante-publique-france	15	22	0	33	5987014	NAquitaine	4	521
2020-03-18	REG-75	sante-publique-france	16	37	0	25	5987014	NAquitaine	4	521
2020-03-19	REG-75	sante-publique-france	17	43	0	NA	5987014	NAquitaine	4	521
2020-03-20	REG-75	sante-publique-france	18	152	0	NA	5987014	NAquitaine	4	521
2020-03-21	REG-75	sante-publique-france	19	89	0	NA	5987014	NAquitaine	4	521
2020-03-02	REG-76	sante-publique-france	0	6	0	NA	5892817	Occitanie	6	611
2020-03-03	REG-76	sante-publique-france	1	0	0	0	5892817	Occitanie	6	611
2020-03-04	REG-76	sante-publique-france	2	3	0	0	5892817	Occitanie	6	611
2020-03-05	REG-76	sante-publique-france	3	2	0	4	5892817	Occitanie	6	611
2020-03-06	REG-76	sante-publique-france	4	7	0	2	5892817	Occitanie	6	611
2020-03-07	REG-76	sante-publique-france	5	18	0	4	5892817	Occitanie	6	611
2020-03-08	REG-76	sante-publique-france	6	0	0	8	5892817	Occitanie	6	611
2020-03-09	REG-76	sante-publique-france	7	0	0	7	5892817	Occitanie	6	611
2020-03-10	REG-76	sante-publique-france	8	25	0	13	5892817	Occitanie	6	611
2020-03-11	REG-76	sante-publique-france	9	26	0	9	5892817	Occitanie	6	611
2020-03-12	REG-76	sante-publique-france	10	46	0	10	5892817	Occitanie	6	611
2020-03-13	REG-76	sante-publique-france	11	39	0	37	5892817	Occitanie	6	611
2020-03-14	REG-76	sante-publique-france	12	42	0	45	5892817	Occitanie	6	611
2020-03-15	REG-76	sante-publique-france	13	29	0	46	5892817	Occitanie	6	611
2020-03-16	REG-76	sante-publique-france	14	19	0	54	5892817	Occitanie	6	611
2020-03-17	REG-76	sante-publique-france	15	49	0	44	5892817	Occitanie	6	611
2020-03-18	REG-76	sante-publique-france	16	60	0	35	5892817	Occitanie	6	611
2020-03-19	REG-76	sante-publique-france	17	73	0	NA	5892817	Occitanie	6	611
2020-03-20	REG-76	sante-publique-france	18	93	0	NA	5892817	Occitanie	6	611
2020-03-21	REG-76	sante-publique-france	19	74	0	NA	5892817	Occitanie	6	611
2020-03-02	REG-84	sante-publique-france	0	37	0	NA	8026685	AURA	37	1266
2020-03-03	REG-84	sante-publique-france	1	0	0	2	8026685	AURA	37	1266
2020-03-04	REG-84	sante-publique-france	2	12	0	2	8026685	AURA	37	1266
2020-03-05	REG-84	sante-publique-france	3	15	0	1	8026685	AURA	37	1266
2020-03-06	REG-84	sante-publique-france	4	11	0	3	8026685	AURA	37	1266
2020-03-07	REG-84	sante-publique-france	5	27	0	4	8026685	AURA	37	1266
2020-03-08	REG-84	sante-publique-france	6	0	0	3	8026685	AURA	37	1266
2020-03-09	REG-84	sante-publique-france	7	0	0	14	8026685	AURA	37	1266
2020-03-10	REG-84	sante-publique-france	8	109	0	14	8026685	AURA	37	1266
2020-03-11	REG-84	sante-publique-france	9	53	0	13	8026685	AURA	37	1266
2020-03-12	REG-84	sante-publique-france	10	65	0	27	8026685	AURA	37	1266
2020-03-13	REG-84	sante-publique-france	11	87	0	37	8026685	AURA	37	1266
2020-03-14	REG-84	sante-publique-france	12	38	0	40	8026685	AURA	37	1266
2020-03-15	REG-84	sante-publique-france	13	69	0	28	8026685	AURA	37	1266
2020-03-16	REG-84	sante-publique-france	14	95	0	43	8026685	AURA	37	1266
2020-03-17	REG-84	sante-publique-france	15	92	0	61	8026685	AURA	37	1266
2020-03-18	REG-84	sante-publique-france	16	148	0	45	8026685	AURA	37	1266
2020-03-19	REG-84	sante-publique-france	17	156	0	NA	8026685	AURA	37	1266
2020-03-20	REG-84	sante-publique-france	18	87	0	NA	8026685	AURA	37	1266
2020-03-21	REG-84	sante-publique-france	19	165	0	NA	8026685	AURA	37	1266
2020-03-04	REG-93	sante-publique-france	0	13	0	NA	5059473	PACA	13	1041
2020-03-05	REG-93	sante-publique-france	1	5	0	12	5059473	PACA	13	1041
2020-03-06	REG-93	sante-publique-france	2	8	0	15	5059473	PACA	13	1041
2020-03-07	REG-93	sante-publique-france	3	12	0	19	5059473	PACA	13	1041
2020-03-08	REG-93	sante-publique-france	4	0	0	25	5059473	PACA	13	1041
2020-03-09	REG-93	sante-publique-france	5	0	0	36	5059473	PACA	13	1041
2020-03-10	REG-93	sante-publique-france	6	51	0	22	5059473	PACA	13	1041
2020-03-11	REG-93	sante-publique-france	7	22	0	43	5059473	PACA	13	1041
2020-03-12	REG-93	sante-publique-france	8	36	0	22	5059473	PACA	13	1041
2020-03-13	REG-93	sante-publique-france	9	65	0	75	5059473	PACA	13	1041
2020-03-14	REG-93	sante-publique-france	10	69	0	46	5059473	PACA	13	1041
2020-03-15	REG-93	sante-publique-france	11	49	0	44	5059473	PACA	13	1041
2020-03-16	REG-93	sante-publique-france	12	75	0	42	5059473	PACA	13	1041
2020-03-17	REG-93	sante-publique-france	13	73	0	57	5059473	PACA	13	1041
2020-03-18	REG-93	sante-publique-france	14	96	0	36	5059473	PACA	13	1041
2020-03-19	REG-93	sante-publique-france	15	119	0	NA	5059473	PACA	13	1041
2020-03-20	REG-93	sante-publique-france	16	133	0	NA	5059473	PACA	13	1041
2020-03-21	REG-93	sante-publique-france	17	215	0	NA	5059473	PACA	13	1041
2020-03-06	REG-94	sante-publique-france	0	3	0	NA	339178	Corse	3	173
2020-03-07	REG-94	sante-publique-france	1	2	0	18	339178	Corse	3	173
2020-03-08	REG-94	sante-publique-france	2	0	0	11	339178	Corse	3	173
2020-03-09	REG-94	sante-publique-france	3	0	0	8	339178	Corse	3	173
2020-03-10	REG-94	sante-publique-france	4	37	0	14	339178	Corse	3	173
2020-03-11	REG-94	sante-publique-france	5	9	0	19	339178	Corse	3	173
2020-03-12	REG-94	sante-publique-france	6	13	0	26	339178	Corse	3	173
2020-03-13	REG-94	sante-publique-france	7	21	0	38	339178	Corse	3	173
2020-03-14	REG-94	sante-publique-france	8	21	0	20	339178	Corse	3	173
2020-03-15	REG-94	sante-publique-france	9	9	0	34	339178	Corse	3	173
2020-03-16	REG-94	sante-publique-france	10	11	0	34	339178	Corse	3	173
2020-03-17	REG-94	sante-publique-france	11	19	0	32	339178	Corse	3	173
2020-03-18	REG-94	sante-publique-france	12	7	0	25	339178	Corse	3	173
2020-03-19	REG-94	sante-publique-france	13	10	0	NA	339178	Corse	3	173
2020-03-20	REG-94	sante-publique-france	14	6	0	NA	339178	Corse	3	173
2020-03-21	REG-94	sante-publique-france	15	5	0	NA	339178	Corse	3	173
